caseid,gend_gendobs,finance_finpast,libcpre_self,divgov_splitgov,ineq_incgap,effic_carestd,effic_saystd,effic_complicrev,guarpr_self,trustgov_trustgrev,relig_pray,dem_birthyr,dem_marital,zipcode
1332,2,3,4,2,1,3,3,-1,1,-1,1,1975,4,73301
6038,-1,2,6,1,1,-1,-1,3,7,4,1,1955,4,82066
649,2,3,5,2,1,1,2,-1,1,-1,2,1939,3,74103
1189,2,1,4,1,1,5,4,-1,4,-1,1,1958,5,99458
1262,2,2,4,1,1,2,4,-1,5,-1,1,1962,2,99854
6256,-1,2,4,2,1,1,4,-1,4,-1,1,1956,6,14468
1408,2,1,5,2,1,3,1,-1,5,-1,4,1980,1,33663
6116,-1,1,4,1,3,-1,-1,2,1,3,1,1963,4,58065
1051,2,3,-2,2,1,-1,-1,2,1,3,5,1947,4,91037
6168,-1,1,5,2,1,-1,-1,4,4,3,2,1951,1,88152
829,1,2,5,2,3,4,4,-1,5,-1,5,1940,4,28304
5524,-1,1,5,1,3,3,3,-1,5,-1,3,1978,1,10410
3837,-1,1,6,2,1,2,2,-1,6,-1,3,1936,6,34036
1640,2,2,-2,1,-8,2,4,-1,1,-1,3,1982,6,47209
1485,1,3,4,-8,1,3,3,-1,-8,-1,5,1926,3,63819
6673,-1,1,4,2,1,2,4,-1,3,-1,1,1965,1,28398
4987,-1,2,4,3,1,-1,-1,3,3,1,4,1954,4,51803
4012,-1,2,6,1,3,2,3,-1,6,-1,3,1930,3,66981
1809,1,1,-2,2,1,-1,-1,4,1,5,1,1983,6,44880
6260,-1,1,6,3,1,-1,-1,3,3,2,5,1953,1,73663
1813,1,1,5,3,3,-1,-1,1,5,5,1,1986,1,13434
4597,-1,2,6,3,1,-1,-1,1,-2,5,2,1947,3,94172
433,2,3,-8,3,-8,1,1,-1,1,-1,1,1922,3,87926
522,2,1,5,2,1,-1,-1,4,2,2,1,1959,5,32261
1643,2,2,6,2,1,-1,-1,3,6,3,1,1979,1,61339
1764,2,3,4,1,1,2,4,-1,7,-1,4,1959,3,56329
361,2,1,4,-8,-8,1,3,-1,-2,-1,1,1942,3,37919
5282,-1,2,5,2,3,-1,-1,3,6,4,3,1972,1,10951
5840,-1,1,6,3,3,-1,-1,4,-2,4,1,1946,1,25806
3075,-1,1,3,1,1,-1,-1,4,1,4,5,1941,1,55587
4086,-1,1,4,1,1,-1,-1,3,3,3,4,1961,1,73629
133,2,1,3,1,1,2,4,-1,4,-1,2,1965,4,54087
1204,1,1,6,2,1,1,1,-1,4,-1,3,1982,5,14827
3944,-1,1,4,1,1,2,2,-1,2,-1,1,1935,1,36990
3643,-1,1,4,2,1,4,3,-1,7,-1,1,1950,1,85400
5752,-1,1,3,2,3,-1,-1,4,4,4,4,1992,6,83009
6244,-1,1,4,2,1,3,3,-1,4,-1,3,1989,6,97213
211,2,1,5,2,3,-1,-1,5,6,4,1,1977,2,59527
1383,2,1,2,2,1,-1,-1,5,2,4,3,1986,6,47394
6154,-1,1,4,1,1,2,1,-1,1,-1,3,1989,1,66266
677,2,2,4,2,1,-1,-1,4,5,3,2,1982,4,61318
1755,2,1,3,2,1,1,2,-1,4,-1,1,1942,4,57660
3962,-1,2,6,1,1,3,4,-1,7,-1,1,1954,1,93603
6318,-1,1,4,3,3,3,3,-1,2,-1,5,1979,1,89977
4089,-1,1,3,2,1,2,4,-1,4,-1,5,1965,1,18778
4287,-1,2,5,2,1,1,4,-1,5,-1,1,1953,1,40877
6112,-1,1,4,2,1,-1,-1,3,6,4,4,1983,1,45107
6426,-1,2,4,2,3,1,3,-1,6,-1,2,1951,1,16942
4449,-1,1,5,1,1,-1,-1,5,7,4,1,1944,1,30015
4342,-1,-9,3,3,1,-1,-1,4,3,4,5,1986,6,53526
5750,-1,2,4,1,1,2,1,-1,2,-1,1,1979,6,76975
125,1,2,7,3,1,-1,-1,3,7,4,3,1941,1,67599
5076,-1,2,5,1,3,1,1,-1,7,-1,4,1988,6,26434
5235,-1,2,4,2,1,2,2,-1,5,-1,4,1972,1,63268
4,2,1,-2,1,3,1,1,-1,4,-1,3,1958,4,78762
1396,2,1,6,2,3,-1,-1,2,5,4,3,1944,1,66484
4039,-1,2,6,1,1,-1,-1,3,7,2,3,1990,6,85926
3203,-1,2,4,2,3,-1,-1,4,5,4,1,1956,1,44074
4942,-1,2,5,3,1,-1,-1,4,4,3,1,1965,1,42668
3040,-1,2,3,2,2,3,2,-1,1,-1,5,1959,6,55220
48,1,2,6,1,3,-1,-1,4,7,4,5,1950,4,24456
4704,-1,2,6,2,3,-1,-1,4,7,4,1,1932,5,74648
1200,2,1,4,3,1,-1,-1,2,6,4,1,1960,4,17298
2006,2,1,5,3,1,-1,-1,2,5,4,3,1971,4,86469
1741,2,1,2,2,1,1,1,-1,2,-1,1,1979,1,72808
814,2,2,3,3,3,3,3,-1,4,-1,5,1978,4,46209
